msg_size time time_norm
100000 0.050000 0.000250
200000 0.120000 0.000600
300000 0.190000 0.000950
400000 0.260000 0.001300
500000 0.310000 0.001550
600000 0.430000 0.002150
700000 0.530000 0.002650
800000 0.620000 0.003100
900000 0.710000 0.003550
1000000 0.770000 0.003850
1100000 0.990000 0.004950
1200000 1.080000 0.005400
1300000 1.150000 0.005750
1400000 1.220000 0.006100
1500000 1.350000 0.006750
1600000 1.460000 0.007300
1700000 1.530000 0.007650
1800000 1.630000 0.008150
1900000 1.480000 0.007400
2000000 1.700000 0.008500
2100000 1.630000 0.008150
2200000 1.980000 0.009900
2300000 2.060000 0.010300
2400000 2.170000 0.010850
2500000 2.240000 0.011200
2600000 2.330000 0.011650
2700000 2.450000 0.012250
2800000 2.560000 0.012800
2900000 2.640000 0.013200
3000000 2.690000 0.013450
3100000 2.790000 0.013950
3200000 2.910000 0.014550
3300000 3.130000 0.015650
3400000 3.050000 0.015250
3500000 3.170000 0.015850
3600000 3.630000 0.018150
3700000 2.960000 0.014800
3800000 3.430000 0.017150
3900000 3.460000 0.017300
4000000 3.540000 0.017700
4100000 3.670000 0.018350
4200000 3.810000 0.019050
4300000 3.870000 0.019350
4400000 3.970000 0.019850
4500000 3.510000 0.017550
4600000 4.140000 0.020700
4700000 3.630000 0.018150
4800000 4.280000 0.021400
4900000 4.420000 0.022100
5000000 4.480000 0.022400
5100000 4.720000 0.023600
5200000 4.630000 0.023150
5300000 4.620000 0.023100
5400000 4.700000 0.023500
5500000 4.800000 0.024000
5600000 4.870000 0.024350
5700000 4.950000 0.024750
5800000 5.050000 0.025250
5900000 5.130000 0.025650
6000000 5.210000 0.026050
6100000 5.300000 0.026500
6200000 5.400000 0.027000
6300000 5.440000 0.027200
6400000 5.490000 0.027450
6500000 5.690000 0.028450
6600000 5.750000 0.028750
6700000 5.800000 0.029000
6800000 5.940000 0.029700
6900000 6.070000 0.030350
7000000 6.080000 0.030400
7100000 6.150000 0.030750
7200000 6.250000 0.031250
7300000 6.320000 0.031600
7400000 6.380000 0.031900
7500000 6.550000 0.032750
7600000 6.630000 0.033150
7700000 6.680000 0.033400
7800000 6.830000 0.034150
7900000 6.860000 0.034300
8000000 6.970000 0.034850
8100000 7.050000 0.035250
8200000 7.140000 0.035700
8300000 7.260000 0.036300
8400000 7.300000 0.036500
8500000 7.440000 0.037200
8600000 7.460000 0.037300
8700000 7.590000 0.037950
8800000 7.640000 0.038200
