msg_size time time_norm
10 0.300000 0.000002
200 0.010000 0.000005
300 0.010000 0.000005
400 0.000000 0.000000
500 0.010000 0.000005
600 0.010000 0.000005
700 0.010000 0.000005
800 0.010000 0.000005
900 0.010000 0.000005
1000 0.020000 0.000010
1100 0.010000 0.000005
1200 0.020000 0.000010
1300 0.020000 0.000010
1400 0.020000 0.000010
1500 0.010000 0.000005
1600 0.020000 0.000010
1700 0.020000 0.000010
1800 0.020000 0.000010
1900 0.030000 0.000015
2000 0.020000 0.000010
2100 0.020000 0.000010
2200 0.030000 0.000015
2300 0.020000 0.000010
2400 0.030000 0.000015
2500 0.020000 0.000010
2600 0.030000 0.000015
2700 0.030000 0.000015
2800 0.030000 0.000015
2900 0.030000 0.000015
3000 0.030000 0.000015
3100 0.030000 0.000015
3200 0.030000 0.000015
3300 0.030000 0.000015
3400 0.030000 0.000015
3500 0.040000 0.000020
3600 0.030000 0.000015
3700 0.040000 0.000020
3800 0.030000 0.000015
3900 0.040000 0.000020
4000 0.040000 0.000020
4100 0.040000 0.000020
4200 0.040000 0.000020
4300 0.040000 0.000020
4400 0.040000 0.000020
4500 0.040000 0.000020
4600 0.040000 0.000020
4700 0.040000 0.000020
4800 0.040000 0.000020
4900 0.050000 0.000025
5000 0.040000 0.000020
5100 0.050000 0.000025
5200 0.040000 0.000020
5300 0.040000 0.000020
5400 0.050000 0.000025
5500 0.050000 0.000025
5600 0.050000 0.000025
5700 0.040000 0.000020
5800 0.050000 0.000025
5900 0.050000 0.000025
6000 0.050000 0.000025
6100 0.050000 0.000025
6200 0.050000 0.000025
6300 0.050000 0.000025
6400 0.050000 0.000025
6500 0.050000 0.000025
6600 0.050000 0.000025
6700 0.050000 0.000025
6800 0.050000 0.000025
6900 0.050000 0.000025
7000 0.050000 0.000025
7100 0.060000 0.000030
7200 0.050000 0.000025
7300 0.050000 0.000025
7400 0.060000 0.000030
7500 0.050000 0.000025
7600 0.060000 0.000030
7700 0.050000 0.000025
7800 0.050000 0.000025
7900 0.060000 0.000030
8000 0.060000 0.000030
8100 0.060000 0.000030
8200 0.060000 0.000030
8300 0.060000 0.000030
8400 0.060000 0.000030
8500 0.060000 0.000030
8600 0.060000 0.000030
8700 0.060000 0.000030
8800 0.070000 0.000035
8900 0.060000 0.000030
9000 0.070000 0.000035
9100 0.070000 0.000035
9200 0.060000 0.000030
9300 0.070000 0.000035
9400 0.070000 0.000035
9500 0.070000 0.000035
9600 0.070000 0.000035
9700 0.070000 0.000035
9800 0.070000 0.000035
9900 0.070000 0.000035
1000000 8.600000 0.004300
1010000 8.680000 0.004340
1020000 8.810000 0.004405
1030000 8.910000 0.004455
1040000 8.960000 0.004480
1050000 9.020000 0.004510
1060000 9.080000 0.004540
1070000 9.320000 0.004660
1080000 9.310000 0.004655
1090000 9.400000 0.004700
1100000 9.410000 0.004705
1110000 9.540000 0.004770
1120000 9.710000 0.004855
1130000 9.720000 0.004860
1140000 9.820000 0.004910
1150000 9.810000 0.004905
1160000 10.070000 0.005035
1170000 10.010000 0.005005
1180000 10.310000 0.005155
1190000 10.380000 0.005190
1200000 10.460000 0.005230
1210000 10.550000 0.005275
1220000 10.700000 0.005350
1230000 10.630000 0.005315
1240000 10.790000 0.005395
1250000 10.890000 0.005445
1260000 10.980000 0.005490
1270000 10.930000 0.005465
1280000 11.130000 0.005565
1290000 11.290000 0.005645
