msg_size time time_norm
10000 0.010000 0.000050
20000 0.010000 0.000050
30000 0.020000 0.000100
40000 0.020000 0.000100
50000 0.030000 0.000150
60000 0.040000 0.000200
70000 0.030000 0.000150
80000 0.050000 0.000250
90000 0.050000 0.000250
100000 0.050000 0.000250
110000 0.060000 0.000300
120000 0.070000 0.000350
130000 0.070000 0.000350
140000 0.080000 0.000400
150000 0.070000 0.000350
160000 0.100000 0.000500
170000 0.090000 0.000450
180000 0.100000 0.000500
190000 0.110000 0.000550
200000 0.110000 0.000550
210000 0.110000 0.000550
220000 0.130000 0.000650
230000 0.130000 0.000650
240000 0.140000 0.000700
250000 0.150000 0.000750
260000 0.150000 0.000750
270000 0.160000 0.000800
280000 0.170000 0.000850
290000 0.180000 0.000900
300000 0.180000 0.000900
310000 0.190000 0.000950
320000 0.190000 0.000950
330000 0.210000 0.001050
340000 0.210000 0.001050
350000 0.210000 0.001050
360000 0.220000 0.001100
370000 0.230000 0.001150
380000 0.230000 0.001150
390000 0.250000 0.001250
400000 0.240000 0.001200
410000 0.260000 0.001300
420000 0.260000 0.001300
430000 0.270000 0.001350
440000 0.270000 0.001350
450000 0.280000 0.001400
460000 0.280000 0.001400
470000 0.290000 0.001450
480000 0.300000 0.001500
490000 0.310000 0.001550
500000 0.310000 0.001550
510000 0.320000 0.001600
520000 0.320000 0.001600
530000 0.330000 0.001650
540000 0.350000 0.001750
550000 0.350000 0.001750
560000 0.370000 0.001850
570000 0.360000 0.001800
580000 0.380000 0.001900
590000 0.390000 0.001950
600000 0.390000 0.001950
610000 0.400000 0.002000
620000 0.420000 0.002100
630000 0.430000 0.002150
640000 0.440000 0.002200
650000 0.450000 0.002250
660000 0.460000 0.002300
670000 0.480000 0.002400
680000 0.490000 0.002450
690000 0.500000 0.002500
700000 0.510000 0.002550
710000 0.530000 0.002650
720000 0.540000 0.002700
730000 0.550000 0.002750
740000 0.570000 0.002850
750000 0.590000 0.002950
760000 0.590000 0.002950
770000 0.610000 0.003050
780000 0.630000 0.003150
790000 0.640000 0.003200
800000 0.650000 0.003250
810000 0.670000 0.003350
820000 0.690000 0.003450
830000 0.680000 0.003400
840000 0.710000 0.003550
850000 0.710000 0.003550
860000 0.740000 0.003700
870000 0.740000 0.003700
880000 0.750000 0.003750
890000 0.760000 0.003800
900000 0.780000 0.003900
910000 0.780000 0.003900
920000 0.800000 0.004000
930000 0.800000 0.004000
940000 0.810000 0.004050
950000 0.820000 0.004100
960000 0.830000 0.004150
970000 0.840000 0.004200
980000 0.840000 0.004200
990000 0.840000 0.004200
1000000 0.870000 0.004350
1010000 0.860000 0.004300
1020000 0.860000 0.004300
1030000 0.880000 0.004400
1040000 0.900000 0.004500
1050000 0.890000 0.004450
1060000 0.910000 0.004550
1070000 0.930000 0.004650
1080000 0.940000 0.004700
1090000 0.950000 0.004750
1100000 0.950000 0.004750
1110000 0.980000 0.004900
1120000 0.980000 0.004900
1130000 0.990000 0.004950
1140000 1.000000 0.005000
1150000 1.010000 0.005050
1160000 1.030000 0.005150
1170000 1.020000 0.005100
1180000 1.030000 0.005150
1190000 1.050000 0.005250
1200000 1.040000 0.005200
1210000 1.070000 0.005350
1220000 1.070000 0.005350
1230000 1.070000 0.005350
1240000 1.080000 0.005400
1250000 1.090000 0.005450
1260000 1.070000 0.005350
1270000 1.100000 0.005500
1280000 1.110000 0.005550
1290000 1.100000 0.005500
1300000 1.120000 0.005600
1310000 1.130000 0.005650
1320000 1.140000 0.005700
1330000 1.170000 0.005850
1340000 1.180000 0.005900
1350000 1.180000 0.005900
1360000 1.190000 0.005950
1370000 1.190000 0.005950
1380000 1.220000 0.006100
1390000 1.220000 0.006100
1400000 1.230000 0.006150
1410000 1.240000 0.006200
1420000 1.240000 0.006200
1430000 1.260000 0.006300
1440000 1.240000 0.006200
1450000 1.250000 0.006250
1460000 1.260000 0.006300
1470000 1.260000 0.006300
1480000 1.260000 0.006300
1490000 1.270000 0.006350
1500000 1.300000 0.006500
1510000 1.310000 0.006550
1520000 1.330000 0.006650
1530000 1.340000 0.006700
1540000 1.350000 0.006750
1550000 1.350000 0.006750
1560000 1.370000 0.006850
1570000 1.360000 0.006800
1580000 1.370000 0.006850
1590000 1.390000 0.006950
1600000 1.380000 0.006900
1610000 1.400000 0.007000
1620000 1.370000 0.006850
1630000 1.440000 0.007200
1640000 1.440000 0.007200
1650000 1.450000 0.007250
1660000 1.450000 0.007250
1670000 1.450000 0.007250
1680000 1.480000 0.007400
1690000 1.480000 0.007400
1700000 1.470000 0.007350
1710000 1.470000 0.007350
1720000 1.470000 0.007350
1730000 1.500000 0.007500
1740000 1.490000 0.007450
1750000 1.520000 0.007600
1760000 1.530000 0.007650
1770000 1.550000 0.007750
1780000 1.570000 0.007850
1790000 1.570000 0.007850
1800000 1.580000 0.007900
1810000 1.590000 0.007950
1820000 1.600000 0.008000
1830000 1.610000 0.008050
1840000 1.600000 0.008000
1850000 1.600000 0.008000
1860000 1.590000 0.007950
1870000 1.610000 0.008050
1880000 1.620000 0.008100
1890000 1.650000 0.008250
1900000 1.650000 0.008250
1910000 1.670000 0.008350
1920000 1.680000 0.008400
1930000 1.690000 0.008450
1940000 1.710000 0.008550
1950000 1.710000 0.008550
1960000 1.720000 0.008600
1970000 1.730000 0.008650
1980000 1.710000 0.008550
1990000 1.720000 0.008600
2000000 1.730000 0.008650
2010000 1.740000 0.008700
2020000 1.750000 0.008750
2030000 1.780000 0.008900
