msg_size time time_norm
100000 0.060000 0.000300
200000 0.130000 0.000650
300000 0.190000 0.000950
400000 0.250000 0.001250
500000 0.310000 0.001550
600000 0.390000 0.001950
700000 0.510000 0.002550
800000 0.650000 0.003250
900000 0.760000 0.003800
1000000 0.840000 0.004200
1100000 0.940000 0.004700
1200000 1.030000 0.005150
1300000 1.120000 0.005600
1400000 1.200000 0.006000
1500000 1.300000 0.006500
1600000 1.360000 0.006800
1700000 1.450000 0.007250
1800000 1.520000 0.007600
1900000 1.630000 0.008150
2000000 1.730000 0.008650
2100000 1.820000 0.009100
2200000 1.880000 0.009400
2300000 1.950000 0.009750
2400000 2.010000 0.010050
2500000 2.110000 0.010550
2600000 2.210000 0.011050
2700000 2.300000 0.011500
2800000 2.380000 0.011900
2900000 2.510000 0.012550
3000000 2.580000 0.012900
3100000 2.650000 0.013250
3200000 2.750000 0.013750
3300000 2.800000 0.014000
3400000 2.900000 0.014500
3500000 2.930000 0.014650
3600000 3.060000 0.015300
3700000 3.160000 0.015800
3800000 3.280000 0.016400
3900000 3.330000 0.016650
4000000 3.410000 0.017050
4100000 3.480000 0.017400
4200000 3.600000 0.018000
4300000 3.660000 0.018300
4400000 3.760000 0.018800
4500000 3.790000 0.018950
4600000 3.920000 0.019600
4700000 3.970000 0.019850
4800000 4.060000 0.020300
4900000 4.180000 0.020900
5000000 4.270000 0.021350
5100000 4.370000 0.021850
5200000 4.420000 0.022100
5300000 4.530000 0.022650
5400000 4.580000 0.022900
5500000 4.670000 0.023350
5600000 4.780000 0.023900
5700000 4.820000 0.024100
5800000 4.900000 0.024500
5900000 4.990000 0.024950
6000000 5.140000 0.025700
6100000 5.160000 0.025800
6200000 5.290000 0.026450
6300000 5.390000 0.026950
6400000 5.430000 0.027150
6500000 5.540000 0.027700
6600000 5.650000 0.028250
6700000 5.770000 0.028850
6800000 5.760000 0.028800
6900000 5.920000 0.029600
7000000 6.080000 0.030400
7100000 6.170000 0.030850
7200000 6.130000 0.030650
7300000 6.280000 0.031400
7400000 6.270000 0.031350
7500000 6.450000 0.032250
7600000 6.490000 0.032450
7700000 6.480000 0.032400
7800000 6.630000 0.033150
7900000 6.750000 0.033750
8000000 6.840000 0.034200
8100000 6.890000 0.034450
8200000 6.980000 0.034900
8300000 7.000000 0.035000
8400000 7.140000 0.035700
8500000 7.220000 0.036100
8600000 7.200000 0.036000
8700000 7.390000 0.036950
8800000 7.470000 0.037350
8900000 7.450000 0.037250
9000000 7.610000 0.038050
9100000 7.640000 0.038200
9200000 7.770000 0.038850
9300000 7.770000 0.038850
9400000 7.960000 0.039800
9500000 8.060000 0.040300
9600000 8.060000 0.040300
9700000 8.120000 0.040600
9800000 8.250000 0.041250
9900000 8.420000 0.042100
