msg_size time time_norm
1 0.030000 0.000002
2 0.030000 0.000002
3 0.030000 0.000002
4 0.030000 0.000002
5 0.030000 0.000002
6 0.030000 0.000002
7 0.030000 0.000002
8 0.030000 0.000002
9 0.030000 0.000002
10 0.030000 0.000002
11 0.030000 0.000002
12 0.030000 0.000002
13 0.040000 0.000002
14 0.030000 0.000002
15 0.030000 0.000002
16 0.030000 0.000002
17 0.040000 0.000002
18 0.030000 0.000002
19 0.030000 0.000002
20 0.030000 0.000002
21 0.030000 0.000002
22 0.030000 0.000002
23 0.030000 0.000002
24 0.030000 0.000002
25 0.030000 0.000002
26 0.030000 0.000002
27 0.030000 0.000002
28 0.030000 0.000002
29 0.040000 0.000002
30 0.030000 0.000002
31 0.030000 0.000002
32 0.030000 0.000002
33 0.030000 0.000002
34 0.040000 0.000002
35 0.030000 0.000002
36 0.030000 0.000002
37 0.030000 0.000002
38 0.030000 0.000002
39 0.040000 0.000002
40 0.030000 0.000002
41 0.030000 0.000002
42 0.030000 0.000002
43 0.030000 0.000002
44 0.030000 0.000002
45 0.030000 0.000002
46 0.040000 0.000002
47 0.030000 0.000002
48 0.030000 0.000002
49 0.030000 0.000002
50 0.030000 0.000002
51 0.030000 0.000002
52 0.030000 0.000002
53 0.030000 0.000002
54 0.030000 0.000002
55 0.030000 0.000002
56 0.030000 0.000002
57 0.030000 0.000002
58 0.030000 0.000002
59 0.030000 0.000002
60 0.030000 0.000002
61 0.030000 0.000002
62 0.030000 0.000002
63 0.030000 0.000002
64 0.030000 0.000002
65 0.030000 0.000002
66 0.030000 0.000002
67 0.030000 0.000002
68 0.030000 0.000002
69 0.030000 0.000002
70 0.030000 0.000002
71 0.030000 0.000002
72 0.030000 0.000002
73 0.030000 0.000002
74 0.030000 0.000002
75 0.030000 0.000002
76 0.030000 0.000002
77 0.030000 0.000002
78 0.030000 0.000002
79 0.030000 0.000002
80 0.030000 0.000002
81 0.030000 0.000002
82 0.030000 0.000002
83 0.030000 0.000002
84 0.030000 0.000002
85 0.030000 0.000002
86 0.040000 0.000002
87 0.030000 0.000002
88 0.030000 0.000002
89 0.040000 0.000002
90 0.030000 0.000002
91 0.030000 0.000002
92 0.030000 0.000002
93 0.040000 0.000002
94 0.030000 0.000002
95 0.030000 0.000002
96 0.040000 0.000002
97 0.030000 0.000002
98 0.030000 0.000002
99 0.030000 0.000002
